ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddArtifactsExpireIn,Add artifacts expire_in,Set `artifacts:expire_in` in `.gitlab-ci.yml` to prevent storage bloat from indefinitely stored artifacts.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""expireIn"",""type"":""String"",""displayName"":""Expire in"",""description"":""Duration after which artifacts expire."",""example"":""1 week"",""required"":true},{""name"":""jobName"",""type"":""String"",""displayName"":""Job name"",""description"":""The job to apply this to. If not provided, applies to the `default` section."",""example"":""build_job""},{""name"":""acceptTheirs"",""type"":""Boolean"",""displayName"":""Accept theirs"",""description"":""When the setting already exists, prefer the original value.""}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddCache,Add cache configuration,Add `cache` configuration to `.gitlab-ci.yml` for faster builds.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""key"",""type"":""String"",""displayName"":""Cache key"",""description"":""The cache key expression."",""example"":""$CI_COMMIT_REF_SLUG"",""required"":true},{""name"":""paths"",""type"":""List"",""displayName"":""Paths"",""description"":""Paths to cache."",""example"":"".cache/,vendor/"",""required"":true},{""name"":""policy"",""type"":""String"",""displayName"":""Policy"",""description"":""The cache policy."",""example"":""pull-push""},{""name"":""jobName"",""type"":""String"",""displayName"":""Job name"",""description"":""The job to add cache to. If not provided, applies to the `default` section."",""example"":""build_job""},{""name"":""acceptTheirs"",""type"":""Boolean"",""displayName"":""Accept theirs"",""description"":""When the setting already exists, prefer the original value.""}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddComponent,Add GitLab component,"Add a GitLab component to an existing list, or add a new list where none was present.",2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""newComponent"",""type"":""String"",""displayName"":""Component"",""description"":""Name of the component to use add."",""example"":""$CI_SERVER_FQDN/components/opentofu/full-pipeline"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""Version of the component to add."",""example"":""0.10.0"",""required"":true},{""name"":""inputs"",""type"":""List"",""displayName"":""Inputs"",""description"":""The set of inputs to provide"",""example"":""opentofu_version: 1.6.1""},{""name"":""insertMode"",""type"":""InsertMode"",""displayName"":""Insert mode"",""description"":""Choose an insertion point when multiple mappings exist. Default is `Last`."",""valid"":[""Before"",""After"",""Last""]}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddDefaultKeyword,Add default keyword,Add or update a keyword in the `default` section of `.gitlab-ci.yml`.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""keyword"",""type"":""String"",""displayName"":""Keyword"",""description"":""The keyword to add under the `default` section."",""example"":""image"",""required"":true},{""name"":""value"",""type"":""String"",""displayName"":""Value"",""description"":""The value for the keyword."",""example"":""ruby:3.0"",""required"":true},{""name"":""acceptTheirs"",""type"":""Boolean"",""displayName"":""Accept theirs"",""description"":""When the keyword already exists, prefer the original value.""}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddInterruptible,Add interruptible,Set `interruptible: true` in `.gitlab-ci.yml` to allow pipelines to be cancelled when superseded.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""jobName"",""type"":""String"",""displayName"":""Job name"",""description"":""The job to make interruptible. If not provided, applies to the `default` section."",""example"":""build_job""},{""name"":""acceptTheirs"",""type"":""Boolean"",""displayName"":""Accept theirs"",""description"":""When the setting already exists, prefer the original value.""}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddRetry,Add retry configuration,Add `retry` configuration to `.gitlab-ci.yml` for resilience against infrastructure failures.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""max"",""type"":""int"",""displayName"":""Max retries"",""description"":""Maximum number of retries (0-2)."",""example"":""2"",""required"":true,""value"":0},{""name"":""when"",""type"":""List"",""displayName"":""When"",""description"":""List of failure types to retry on."",""example"":""runner_system_failure,stuck_or_timeout_failure""},{""name"":""jobName"",""type"":""String"",""displayName"":""Job name"",""description"":""The job to add retry to. If not provided, applies to the `default` section."",""example"":""build_job""},{""name"":""acceptTheirs"",""type"":""Boolean"",""displayName"":""Accept theirs"",""description"":""When the setting already exists, prefer the original value.""}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddStages,Add GitLab stages,Add or Update the set of stages defined in `.gitlab-ci.yml`.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""stages"",""type"":""List"",""displayName"":""Stages"",""description"":""Stages to add."",""example"":""build,test,deploy"",""required"":true},{""name"":""acceptTheirs"",""type"":""Boolean"",""displayName"":""Accept theirs"",""description"":""When the set of stages would conflict, prefer the original value.""},{""name"":""insertMode"",""type"":""InsertMode"",""displayName"":""Insert mode"",""description"":""Choose an insertion point when multiple mappings exist. Default is `Last`."",""valid"":[""Before"",""After"",""Last""]}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddTemplate,Add GitLab template,"Add a GitLab template to an existing list, or add a new list where none was present.",2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""newTemplate"",""type"":""String"",""displayName"":""Template"",""description"":""Name of the template to use instead."",""example"":""OpenTofu/Base.gitlab-ci.yml"",""required"":true},{""name"":""insertMode"",""type"":""InsertMode"",""displayName"":""Insert mode"",""description"":""Choose an insertion point when multiple mappings exist. Default is `Last`."",""valid"":[""Before"",""After"",""Last""]}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddTimeout,Add job timeout,Set `timeout` in `.gitlab-ci.yml` to prevent jobs from hanging indefinitely.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""timeout"",""type"":""String"",""displayName"":""Timeout"",""description"":""The timeout duration."",""example"":""1 hour"",""required"":true},{""name"":""jobName"",""type"":""String"",""displayName"":""Job name"",""description"":""The job to set timeout on. If not provided, applies to the `default` section."",""example"":""build_job""},{""name"":""acceptTheirs"",""type"":""Boolean"",""displayName"":""Accept theirs"",""description"":""When the setting already exists, prefer the original value.""}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.AddWorkflowRules,Add workflow rules,Add `workflow:rules` to `.gitlab-ci.yml` to control pipeline creation.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""rules"",""type"":""String"",""displayName"":""Rules"",""description"":""The YAML snippet defining the workflow rules."",""example"":""- if: $CI_PIPELINE_SOURCE == 'merge_request_event'\\n- if: $CI_COMMIT_BRANCH && $CI_OPEN_MERGE_REQUESTS\\n  when: never\\n- if: $CI_COMMIT_BRANCH"",""required"":true},{""name"":""acceptTheirs"",""type"":""Boolean"",""displayName"":""Accept theirs"",""description"":""When workflow rules already exist, prefer the original value.""}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.ChangeComponent,Change GitLab Component,Change a GitLab Component in use.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""oldComponent"",""type"":""String"",""displayName"":""Old Component"",""description"":""The name of the component to match."",""example"":""$CI_SERVER_FQDN/components/opentofu/full-pipeline"",""required"":true},{""name"":""oldComponentVersion"",""type"":""String"",""displayName"":""Old Component version"",""description"":""Version of the existing component to use match."",""example"":""0.10.0"",""required"":true},{""name"":""newComponent"",""type"":""String"",""displayName"":""New Component"",""description"":""Name of the new component to use instead."",""example"":""$CI_SERVER_FQDN/components/opentofu/full-pipeline""},{""name"":""newComponentVersion"",""type"":""String"",""displayName"":""New Component version"",""description"":""Version of the new component to use instead."",""example"":""0.10.0"",""required"":true}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.ChangeTemplate,Change GitLab template,Change a GitLab template in use.,2,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""oldTemplate"",""type"":""String"",""displayName"":""Template"",""description"":""The name of the template to match."",""example"":""Terraform/Base.gitlab-ci.yml"",""required"":true},{""name"":""newTemplate"",""type"":""String"",""displayName"":""Template"",""description"":""Name of the template to use instead."",""example"":""OpenTofu/Base.gitlab-ci.yml"",""required"":true}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.MigrateToRules,Migrate `only`/`except` to `rules`,"Replace the deprecated `only` and `except` keywords with equivalent `rules` in `.gitlab-ci.yml` job definitions. When both `only` and `except` are present, they are combined into a single `rules` block. Handles simple ref list forms; complex object forms with `refs`, `variables`, or `changes` sub-keys are left unchanged.",1,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.RemoveTemplate,Remove GitLab template,Remove a GitLab template from use.,1,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""oldTemplate"",""type"":""String"",""displayName"":""Template"",""description"":""The name of the template to match."",""example"":""Terraform/Base.gitlab-ci.yml"",""required"":true}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.BestPractices,GitLab CI best practices,"Apply GitLab CI/CD best practices to `.gitlab-ci.yml`. This includes adding `workflow:rules` to prevent duplicate pipelines, setting `interruptible: true` and `retry` in the `default` section, configuring `artifacts:expire_in`, and setting a job `timeout`.",12,,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.search.FindComponent,Find GitLab Component,Find a GitLab Component in use.,2,Search,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""component"",""type"":""String"",""displayName"":""Component"",""description"":""The component key to look for"",""example"":""$CI_SERVER_FQDN/components/opentofu/full-pipeline"",""required"":true}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.search.FindDeprecatedExcept,Find deprecated `except` keyword,Find usages of the deprecated `except` keyword in `.gitlab-ci.yml`. The `except` keyword is deprecated in favor of `rules`.,2,Search,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.search.FindDeprecatedOnly,Find deprecated `only` keyword,Find usages of the deprecated `only` keyword in `.gitlab-ci.yml`. The `only` keyword is deprecated in favor of `rules`.,2,Search,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.search.FindTemplate,Find GitLab Template,Find a GitLab Template in use.,2,Search,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,"[{""name"":""template"",""type"":""String"",""displayName"":""Template"",""description"":""The template key to look for"",""example"":""Terraform/Base.gitlab-ci.yml"",""required"":true}]"
maven,org.openrewrite.recipe:rewrite-gitlab,org.openrewrite.gitlab.search.FindDeprecatedSyntax,Find deprecated GitLab CI syntax,Find usages of deprecated `only` and `except` keywords in `.gitlab-ci.yml`. These keywords are deprecated in favor of `rules`.,5,Search,GitLab,,Recipes to perform [GitLab](https://gitlab.com/) migration tasks.,
